,y_test,prediction
4931,1426.1436,2680.115923524776
4148,1201.769,2519.8403757234764
7423,1836.2764,2258.1899817364015
4836,2410.8618,2299.3637902476125
944,1549.9824,3068.155180805484
154,3169.208,3595.8016381908114
7230,2036.6822,2959.476309566762
3472,824.9262,1978.311814223234
2294,378.1744,1430.5414583921154
2588,1573.9512,1784.998243845834
2087,2474.7786,1869.9744880084143
7318,101.8674,270.0128107251431
6126,894.8352,1611.0418399913722
4164,1491.392,2397.8197343582033
6572,1390.1904,2031.8886430374646
693,1707.777,1449.7491067858273
1270,1853.5872,2476.530575911533
5893,2404.8696,2808.606891931846
1624,5528.1374,3847.390773041664
5223,12117.56,5357.53284349172
2972,4767.128,3602.8177274211125
6814,185.7582,1834.5060298536207
1555,187.0898,1214.0970634251314
8275,772.328,1547.5399416473879
3760,1324.2762,2113.912097539326
3161,2036.6822,1573.9512775449157
5225,6574.775,5549.44515855747
1570,5285.1204,4099.988058460221
4285,773.6596,863.7729580765425
1835,6615.3888,3823.6440632569524
4266,1022.6688,1438.951444502579
2740,2797.6916,4075.1869398557046
4312,3099.9648,2682.9598981589224
2379,1720.4272,3353.5005948246917
821,3338.3212,2333.5814603959216
5862,1061.951,1451.5010757116422
5108,4567.388,4037.6626178628235
7149,6474.2392,5376.935207175263
2060,1145.176,1900.1273978446336
1571,2804.3496,1719.9503523181463
3879,945.436,1265.919561139921
1889,1255.033,2290.155982650378
528,5206.556,3703.562591214433
7060,5842.395,3778.7275737052264
5845,3379.6008,2979.670968370801
5860,477.3786,697.6045939306744
4861,113.8518,-201.51256728909516
1824,992.042,1301.7641067934612
1098,5259.82,4153.350667918563
5530,1704.448,1530.1698321484357
1921,117.8466,95.38718969777096
8517,3608.636,2839.2102785756656
4908,729.051,597.1064374626292
2006,2422.1804,2407.415877649346
98,4363.6532,3789.7979530872904
7140,753.0198,737.3623462648061
1003,713.0718,508.9956517814789
3162,683.1108,617.2711230710804
4376,195.7452,-196.59373289350447
3930,3159.8868,3602.7594977860535
5973,1348.245,1457.8651105518497
4276,1803.6522,1255.4239997417626
6789,5932.278,2567.2262941352415
8116,71.9064,-969.0961539692546
2030,2270.378,1703.1162984961766
3484,303.6048,534.2380222993831
233,2603.278,2403.208330769084
4511,5773.1518,3167.0830085037046
852,2691.8294,3250.1582080014227
1364,476.047,473.30904065171666
257,193.082,1632.6478901823164
5809,2460.7968,1621.3922576015907
3810,121.8414,110.53938153572994
379,4274.436,3400.8849371029087
7273,412.796,-125.76053007844871
6787,4625.9784,4066.384839042588
2645,3006.087,2220.589132067903
1589,4950.8888,3557.653121674733
5198,529.311,2411.9866845396905
3909,2184.4898,2089.1900905111306
8236,510.0028,2125.2258340016815
888,2620.5888,2507.6723692148876
5175,981.3892,698.3506941794781
1580,319.584,594.3559025541902
4109,2297.01,2448.6716904674413
4238,1018.674,611.2044397296759
140,1402.1748,2411.4370505336265
6770,3942.8676,3028.100285079678
4098,1182.4608,3169.351777376636
4394,937.4464,3618.637751116279
543,1398.18,2149.26538685833
3412,1168.479,917.7420851524466
3043,1569.9564,1405.221227949522
6696,6474.2392,5389.597697108341
6565,296.9468,548.2832519872165
2563,2127.8968,3400.9948754465413
4824,5683.2688,4054.568804621085
6335,2616.594,2990.826959160736
6164,4866.998,2310.673732370189
6095,316.9208,596.7387585218587
4972,355.5372,1500.3440093641602
3535,2994.7684,3350.787137748907
7490,607.2096,564.8175328278007
49,780.3176,1266.0746872407674
7475,1685.8056,2399.706423281569
380,5375.0034,5189.243970637818
7192,1267.0174,1807.7546082094862
4773,3131.9232,3097.402075099849
4088,1629.8784,1340.0472206840727
2849,6196.6006,3883.4466633127677
6750,3094.6384,3453.3361892299786
2488,3142.576,3161.7219443480826
3812,2972.1312,2564.068749625511
916,895.501,971.8069292282883
2539,5259.82,3276.370572709329
541,231.6984,1245.3952225461
7275,2922.1962,2013.663769252522
6192,922.7988,2527.889732022758
5373,3819.0288,2613.903790256718
1657,75.9012,340.56152140163084
273,5829.7448,4170.91797800436
7086,392.822,1257.6893011610234
2337,61.2536,-728.4543363694031
2607,3542.056,3037.5652929561743
3299,5396.9748,4122.506809155297
2631,1510.0344,4079.5798952860164
3776,4349.0056,3139.4708977779364
4153,225.7062,1702.2431932996785
4557,2162.5184,1142.643282778301
5378,1065.28,3386.6218353254612
6000,7393.0432,4999.739085019169
7564,802.9548,859.6016554430138
1035,2190.482,2480.968816642267
8440,2960.1468,2441.662985292497
6539,3281.0624,3807.566838963217
3434,3778.415,2515.5002353340287
5233,3751.783,1695.3217534566286
4061,428.7752,-117.60393811879635
44,373.5138,2042.053841249392
5022,120.5098,51.476151205999486
5085,2916.204,3888.676033493854
3007,3439.5228,2782.4780562711476
7336,1830.95,2329.0830530594494
2434,2006.7212,1489.440386663631
2580,3629.2758,2577.6701700382823
4559,351.5424,952.5479790860979
5615,2375.5744,2340.512070345237
7019,2466.789,2234.3609294535854
4574,2303.668,1849.0786317035
4589,1543.3244,2171.973941611838
7801,2432.8332,2621.1093206968767
8255,2696.49,1610.3604220906343
7646,790.9704,645.9323302435494
6132,5438.9202,3781.0353811343457
5663,1174.4712,1537.1151336615965
3637,1166.4816,814.420283128079
2966,143.8128,470.10534354672654
6577,761.6752,1722.3662086104928
6261,4288.4178,4969.840903942474
4083,1216.4166,4133.050405008584
