,y_test,prediction
4931,1426.1436,2679.8125
4148,1201.769,2522.0625
7423,1836.2764,2259.9375
4836,2410.8618,2299.8125
944,1549.9824,3067.8125
154,3169.208,3595.9375
7230,2036.6822,2959.3125
3472,824.9262,1978.6875
2294,378.1744,1434.6875
2588,1573.9512,1785.0625
2087,2474.7786,1869.8125
7318,101.8674,268.9375
6126,894.8352,1611.3125
4164,1491.392,2398.6875
6572,1390.1904,2033.8125
693,1707.777,1449.3125
1270,1853.5872,2476.1875
5893,2404.8696,2810.0625
1624,5528.1374,3846.4375
5223,12117.56,5360.3125
2972,4767.128,3599.6875
6814,185.7582,1847.4375
1555,187.0898,1216.9375
8275,772.328,1547.5625
3760,1324.2762,2116.1875
3161,2036.6822,1571.9375
5225,6574.775,5549.8125
1570,5285.1204,4102.0625
4285,773.6596,863.9375
1835,6615.3888,3822.8125
4266,1022.6688,1438.9375
2740,2797.6916,4076.4375
4312,3099.9648,2682.3125
2379,1720.4272,3351.6875
821,3338.3212,2335.1875
5862,1061.951,1449.5625
5108,4567.388,4038.3125
7149,6474.2392,5379.3125
2060,1145.176,1901.0625
1571,2804.3496,1717.9375
3879,945.436,1266.0625
1889,1255.033,2291.5625
528,5206.556,3703.9375
7060,5842.395,3779.8125
5845,3379.6008,2980.9375
5860,477.3786,699.6875
4861,113.8518,-202.8125
1824,992.042,1302.4375
1098,5259.82,4152.8125
5530,1704.448,1530.5625
1921,117.8466,95.9375
8517,3608.636,2837.6875
4908,729.051,599.0625
2006,2422.1804,2407.9375
98,4363.6532,3790.9375
7140,753.0198,736.9375
1003,713.0718,507.0625
3162,683.1108,616.5625
4376,195.7452,-193.6875
3930,3159.8868,3602.8125
5973,1348.245,1457.3125
4276,1803.6522,1253.9375
6789,5932.278,2566.0625
8116,71.9064,-966.0625
2030,2270.378,1702.9375
3484,303.6048,534.1875
233,2603.278,2402.9375
4511,5773.1518,3169.3125
852,2691.8294,3248.5625
1364,476.047,472.4375
257,193.082,1630.1875
5809,2460.7968,1619.5625
3810,121.8414,111.9375
379,4274.436,3401.0625
7273,412.796,-123.8125
6787,4625.9784,4067.5625
2645,3006.087,2219.8125
1589,4950.8888,3557.9375
5198,529.311,2409.3125
3909,2184.4898,2088.0625
8236,510.0028,2125.8125
888,2620.5888,2505.4375
5175,981.3892,696.9375
1580,319.584,592.0625
4109,2297.01,2449.8125
4238,1018.674,610.9375
140,1402.1748,2411.4375
6770,3942.8676,3030.9375
4098,1182.4608,3170.5625
4394,937.4464,3620.9375
543,1398.18,2147.4375
3412,1168.479,915.0625
3043,1569.9564,1405.8125
6696,6474.2392,5392.0625
6565,296.9468,547.6875
2563,2127.8968,3399.5625
4824,5683.2688,4054.4375
6335,2616.594,2991.5625
6164,4866.998,2310.8125
6095,316.9208,595.6875
4972,355.5372,1497.4375
3535,2994.7684,3353.5625
7490,607.2096,565.6875
49,780.3176,1264.0625
7475,1685.8056,2400.4375
380,5375.0034,5192.0625
7192,1267.0174,1811.0625
4773,3131.9232,3096.6875
4088,1629.8784,1337.8125
2849,6196.6006,3883.5625
6750,3094.6384,3452.6875
2488,3142.576,3161.3125
3812,2972.1312,2564.0625
916,895.501,970.5625
2539,5259.82,3275.5625
541,231.6984,1242.9375
7275,2922.1962,2013.4375
6192,922.7988,2528.9375
5373,3819.0288,2615.6875
1657,75.9012,340.3125
273,5829.7448,4172.3125
7086,392.822,1259.9375
2337,61.2536,-728.6875
2607,3542.056,3038.5625
3299,5396.9748,4124.3125
2631,1510.0344,4081.3125
3776,4349.0056,3142.3125
4153,225.7062,1702.6875
4557,2162.5184,1142.6875
5378,1065.28,3388.4375
6000,7393.0432,4999.0625
7564,802.9548,858.8125
1035,2190.482,2479.0625
8440,2960.1468,2442.5625
6539,3281.0624,3808.8125
3434,3778.415,2516.3125
5233,3751.783,1695.4375
4061,428.7752,-117.0625
44,373.5138,2041.9375
5022,120.5098,49.0625
5085,2916.204,3889.5625
3007,3439.5228,2783.5625
7336,1830.95,2327.4375
2434,2006.7212,1488.0625
2580,3629.2758,2578.5625
4559,351.5424,953.0625
5615,2375.5744,2339.0625
7019,2466.789,2238.8125
4574,2303.668,1846.0625
4589,1543.3244,2173.6875
7801,2432.8332,2619.6875
8255,2696.49,1610.3125
7646,790.9704,645.5625
6132,5438.9202,3780.1875
5663,1174.4712,1535.5625
3637,1166.4816,813.8125
2966,143.8128,471.5625
6577,761.6752,1724.0625
6261,4288.4178,4970.6875
4083,1216.4166,4132.9375
4415,5219.872,2978.1875
2643,5976.2208,3646.0625
1132,1901.5248,2367.8125
5686,856.8846,1489.0625
7491,3175.866,2856.9375
938,89.2172,-360.3125
7453,509.337,1050.9375
6510,3251.1014,2572.1875
234,605.878,704.5625
722,1780.3492,2069.8125
187,778.986,2275.4375
3526,473.3838,1613.9375
4699,6831.108,3715.0625
2793,1837.608,1209.6875
6198,3214.4824,3008.8125
2650,2524.0478,2412.6875
7761,1403.5064,1364.9375
3112,886.8456,1565.9375
635,5087.3778,4525.5625
7677,2045.3376,4017.9375
4413,3900.9222,2405.3125
4937,3658.571,1586.9375
5645,2077.296,2587.1875
1034,75.9012,-1139.9375
3326,3478.805,2873.6875
1103,5350.3688,2564.3125
6440,1113.2176,950.8125
2578,2648.5524,2362.8125
394,3259.7568,2997.0625
4994,2292.3494,3306.8125
787,129.1652,-835.4375
2152,2348.9424,2038.3125
5105,1230.3984,1725.3125
3379,727.0536,955.0625
4800,488.6972,1855.5625
5276,2055.3246,1597.8125
6608,691.1004,1842.6875
7114,3174.5344,3159.0625
6423,569.259,2650.6875
5840,1446.1176,1635.0625
3766,5267.8096,3625.8125
5575,885.514,1496.5625
3779,3563.3616,2064.4375
5977,8474.3024,5067.0625
7052,3675.216,3585.3125
1082,1584.604,1700.0625
7917,743.0328,1389.8125
5836,3271.7412,3689.0625
3976,1592.5936,2500.5625
1783,2364.9216,2291.3125
1414,3420.8804,5126.4375
3724,5000.8238,4153.9375
5605,1607.907,3321.9375
2509,2960.1468,2304.5625
2067,1518.024,2345.1875
2774,1419.4856,1750.5625
6630,173.108,-495.4375
1817,4410.2592,3011.5625
3805,2182.4924,3090.0625
2081,392.822,1206.9375
7551,3229.7958,4168.0625
5173,2302.3364,2890.3125
3714,5299.768,4119.0625
692,4974.1918,4009.0625
1235,3235.788,2580.3125
5770,2388.2246,2327.3125
642,3246.4408,2320.4375
7419,2444.8176,2170.1875
3315,2956.152,3018.5625
3679,2695.1584,2129.0625
38,388.1614,2110.0625
7813,109.1912,-961.1875
5155,354.2056,1115.8125
8405,124.5046,140.0625
1180,2190.482,2470.1875
1022,352.874,935.6875
7538,1817.634,2414.9375
8284,197.0768,-248.3125
7975,922.7988,1402.3125
1332,1957.452,2287.9375
5873,2422.1804,2123.5625
2189,5243.8408,3636.5625
1386,3691.1952,2791.0625
147,1597.92,2664.6875
8244,3964.839,4305.9375
7158,5592.72,3481.4375
4520,2302.3364,1960.3125
3769,3567.3564,4517.4375
5470,1791.6678,1036.0625
7898,790.9704,2333.9375
8441,777.6544,1575.3125
4919,341.5554,1810.0625
196,992.7078,806.8125
5367,2596.62,2711.9375
1456,351.5424,1440.6875
277,450.0808,1841.9375
1830,1468.089,723.3125
2172,697.7584,962.0625
3266,5752.512,3348.1875
1379,5816.4288,5240.0625
4844,102.5332,-90.5625
6799,459.402,3621.3125
7782,2345.6134,2942.6875
2843,2796.36,3718.0625
1283,1581.275,1069.1875
3375,352.874,846.6875
5739,2087.283,2636.3125
5937,312.926,573.0625
3180,1524.0162,1642.0625
7671,1078.596,505.3125
8210,3435.528,3332.5625
2417,3731.809,3114.3125
7299,3352.303,2871.9375
958,1973.4312,2613.6875
6956,2125.2336,1590.5625
3740,91.8804,-936.5625
3079,497.3526,1136.4375
